,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error,Documentary,Sci-Fi,Drama,N/A,Fantasy,Horror,Thriller,Action,Adventure,War,Comedy,Music,Mystery,History,Biography,Crime,Family,Romance,Western,Sport,News,Animation,Musical,Short,Reality-TV,Game-Show
4449,Cyborg X,2016,N/A,N/A,90 min,"Action, Horror, Sci-Fi",K. King,K. King,"Eve Mauro, Danny Trejo, Rocky Myers, Adam Johnson","After X-Corp, a radical weapons manufacturer, is taken over by a Cyber Virus, a group of survivors must fight to save humanity from the army of Machines the Virus now controls.",English,USA,2 wins.,https://m.media-amazon.com/images/M/MV5BMTgyNDkzNjA0OV5BMl5BanBnXkFtZTgwMTM1Mzc0OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}]",N/A,4.1,"1,226",tt3899262,movie,N/A,N/A,Arrowstorm Entertainment,N/A,True,,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4450,Rooster Teeth: Best of RT Shorts and Animated Adventures,2013,N/A,16 Jul 2013,233 min,Comedy,"Chris Demarais, Brandon Farmahini, Matt Hullum, Marshall Rimmer",N/A,"Burnie Burns, Gavin Free, Joel Heyman, Rebecca Frasier",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZjliN2FlODItMmFiNC00ZDhkLWE5NDktYWQ4MzUzMzc1Mjk3XkEyXkFqcGdeQXVyMjA1Mzg4NjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,74,tt3462466,movie,N/A,N/A,N/A,N/A,True,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4451,View from a Grain of Sand,2006,N/A,13 Nov 2006,82 min,Documentary,Meena Nanji,Meena Nanji,"Daoud Hassan, Shapiray Hassan, Roeena Mohmand, Wajia","Combining verite footage, interviews and rare archival material, VIEW FROM A GRAIN OF SAND is a harrowing, thought-provoking, yet intimate portrait of Afghan women's history over the last ...",Pushto,"USA, Afghanistan",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,15,tt1079452,movie,N/A,N/A,Ecesis Films,N/A,True,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4452,Outlander,2008,R,11 Jul 2008,115 min,"Action, Adventure, Fantasy, Horror, Sci-Fi, War",Howard McCain,"Dirk Blackman, Howard McCain","Jim Caviezel, Sophia Myles, Jack Huston, John Hurt","During the reign of the Vikings, Kainan, a man from a far-off world, crash lands on Earth, bringing with him an alien predator known as the Moorwen. Though both man and monster are seeking revenge for violence committed against them, Kainan leads the alliance to kill the Moorwen by fusing his advanced technology with the Viking's Iron Age weaponry.","English, Norse,  Old, Latin","USA, Germany, France",2 nominations.,https://m.media-amazon.com/images/M/MV5BMTBhYmNhZTYtMTEzMi00M2E2LTgyMTYtM2FmYjhjZGFlZWUzXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,6.2,"69,952",tt0462465,movie,26 May 2009,"$59,581",Third Rail Releasing,N/A,True,,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4453,Hat Trick,2005,N/A,25 Oct 2006,82 min,Action,Jason McAfee,Jason McAfee,"Brian Bentley, Bryan Chatlien, Mark Stoddard, Jon McPhalen",Two filmmakers must run for their lives when a Producer believes their script is an act of blackmail.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTM4MjM0MTYzM15BMl5BanBnXkFtZTcwMjgxODYyOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,79,tt0490964,movie,10 Oct 2006,N/A,N/A,N/A,True,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4454,Golden Winter,2012,TV-G,25 Sep 2012,89 min,"Comedy, Family",Sam Mendoti,Tom Seidman (screenplay),"Andrew Beckham, Shannon Elizabeth, Jason Brooks, Charles Irving Beale","A boy befriends a litter of homeless Golden Retrievers. Together, they help stop a bank robbery just in time for Christmas.",English,USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BMTgzNDE1MTk3NV5BMl5BanBnXkFtZTgwODI2ODM5MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.9/10'}]",N/A,3.9,258,tt2202750,movie,N/A,N/A,WARNER BROTHERS PICTURES,N/A,True,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4455,Pele O Ka Foodmart,2005,N/A,22 Oct 2005,93 min,Drama,Michael Wurth,Michael Wurth,"Ray Bumatai, Patricia Hastie, Dick Herschberger, Margaret Jones","A local Hawaiian woman in an abusive marriage awakens one day believing she's Madame Pele, Goddess of the Volcano. And Pele ain't having that.",English,USA,1 win.,N/A,[],N/A,N/A,N/A,tt0769538,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4456,P.S.,2004,R,10 Feb 2005,97 min,"Comedy, Drama, Fantasy, Romance",Dylan Kidd,"Helen Schulman (novel), Helen Schulman (screenplay), Dylan Kidd (screenplay)","Laura Linney, Gabriel Byrne, Lois Smith, Paul Rudd",An unfulfilled divorced woman gets the chance to relive her past when she meets a young man who appears to be her high school sweetheart who died many years before.,English,USA,3 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMTY3MTY0NjQwM15BMl5BanBnXkFtZTcwMTA1MjcyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.1,"5,842",tt0380609,movie,08 Feb 2005,"$119,241",Newmarket Films,N/A,True,,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4457,Mean Girls,2004,PG-13,30 Apr 2004,97 min,Comedy,Mark Waters,"Rosalind Wiseman (book), Tina Fey (screenplay)","Lindsay Lohan, Rachel McAdams, Tina Fey, Tim Meadows","Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.","English, German, Vietnamese, Swahili","USA, Canada",7 wins & 25 nominations.,https://m.media-amazon.com/images/M/MV5BMjE1MDQ4MjI1OV5BMl5BanBnXkFtZTcwNzcwODAzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.0,"313,562",tt0377092,movie,21 Sep 2004,"$85,974,306",Paramount Pictures,N/A,True,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4458,Nowheresville,2000,PG-13,N/A,96 min,Romance,Bishop Trout,N/A,"Henri Lubatti, Kim Tyler, Kim Evey, Mark Berry",A marriage proposal is sabotaged by two friends for their own romantic intentions.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjIyMTQ0MjUzOF5BMl5BanBnXkFtZTgwMjY0OTk1MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",N/A,8.2,19,tt0251309,movie,N/A,N/A,N/A,N/A,True,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4459,Death of Love,2012,N/A,12 May 2012,108 min,"Comedy, Drama, Romance","Alex Zinzopoulos, Jack Skyyler(co-director)",Alex Zinzopoulos,"Mike Bergeron, Vanessa Gall, Winter Adams, Rebecca Kearney","The movie is about love, loss, and all the secrets in between. The whole movie takes place on a telephone call between two people. It intertwines memories into visual stories all leading to...",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BNTMzZGMzOTQtODRlYS00MjkwLTkzNjAtNDBiZmFjMDhmN2QyXkEyXkFqcGdeQXVyNDMwNjU2MzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,14,tt2160299,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4460,Breaking Bad Clayton's Diary,2015,N/A,15 Jun 2015,75 min,"Action, Crime, Drama",Dylan Cowan,Dylan Cowan,"Richard Moss, Richard Moss, Colten Dietz",we follow lead character Marcus as he searches for his missing friend Clayton while his reluctant friend wesley is not willing to find Clayton Marcus risks crossing the biggest drug lord in...,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt4588714,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4461,Young Blades,2001,N/A,26 Sep 2001,92 min,"Action, Adventure",Mario Andreacchio,"Alexandre Dumas, John Goldsmith","Hugh Dancy, Sarah-Jane Potts, Scott Hickman, Antony Strachan","Young Blades follows D'artagnan (Hugh Dancy), a young arrogant swordsman; Radegonde (Sarah-Jane Potts), a clever girl he meets in the woods; and a trio of Musketeers as they attempt to thwart a plot to send France and Spain into war.",English,"UK, France",N/A,https://m.media-amazon.com/images/M/MV5BNjMxYTFkYTMtNmEzNC00YTQ1LTk4OTEtZTc4NDYzMGExZjY4XkEyXkFqcGdeQXVyMjgxMTkzOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",N/A,4.9,147,tt0256531,movie,N/A,N/A,N/A,N/A,True,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4462,Lady in the Water,2006,PG-13,21 Jul 2006,110 min,"Drama, Fantasy, Mystery, Thriller",M. Night Shyamalan,M. Night Shyamalan,"Paul Giamatti, Bryce Dallas Howard, Jeffrey Wright, Bob Balaban","Apartment building superintendent Cleveland Heep rescues what he thinks is a young woman from the pool he maintains. When he discovers that she is actually a character from a bedtime story who is trying to make the journey back to her home, he works with his tenants to protect his new friend from the creatures that are determined to keep her in our world.",English,USA,10 wins & 11 nominations.,https://m.media-amazon.com/images/M/MV5BMjEyNTc0NTk5M15BMl5BanBnXkFtZTcwMDE5NzkyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,5.5,"92,555",tt0452637,movie,19 Dec 2006,"$42,219,433",Warner Bros. Pictures,N/A,True,,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4463,Spitting Game: The College Hook Up Culture,2009,N/A,06 Feb 2009,82 min,Documentary,Denice Ann Evans,Denice Ann Evans,"Shadi Ashtiani, Michele Grey, Chris Henshaw","Spitting Game: The College Hook Up Culture dares to open Pandora's Box and take a penetrating look inside the college hook up culture. Hooking up, which is described as a drunken, ...",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt1370295,movie,N/A,N/A,N/A,N/A,True,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4464,Easy Money,2018,N/A,16 Feb 2018,85 min,Drama,Halstan Williams,N/A,"Joanna Bartling, Ashton Bingham, Skip Bolden, Zack Cole","When vulnerable artist Tyler Mason has nowhere else to turn, he is recruited into an unexpected trio to conduct one of the most innovative money counterfeiting schemes to ever hit the market.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BODMyNTczNDQ2N15BMl5BanBnXkFtZTgwNzU5NTM5MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,7,tt2399430,movie,N/A,N/A,Butch Williams Studios,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4465,Soirée,2003,NOT RATED,21 Mar 2003,75 min,"Comedy, Family",Ford Austin,Ford Austin,"Shahe Assilian, Ford Austin, Carley Corbin, Leah Harrison","On his 30th birthday, David tries to reconcile with his estranged wife Angela, but she brings another man to the party. In front of their friends, Angela informs her husband that she will ...",English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BMTU0NjEyODc4MF5BMl5BanBnXkFtZTcwNjM5MzAwMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,20,tt0367072,movie,N/A,N/A,N/A,N/A,True,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4466,Kabir Singh,2019,N/A,20 Jun 2019,173 min,"Drama, Romance",Sandeep Reddy Vanga,"Siddharth Singh (dialogue), Sandeep Reddy Vanga, Garima Wahal (dialogue)","Shahid Kapoor, Kiara Advani, Nikita Dutta, Soham Majumdar","Kabir Singh is a remake of a Telugu movie Arjun Reddy (2017), where a short-tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person.",Hindi,India,3 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BOTIyMTNkMWQtZDJlYi00OGJmLTliN2MtOGE0YjY4NzFiYTNmXkEyXkFqcGdeQXVyOTAzMTc2MjA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}]",N/A,7.1,"22,320",tt8983202,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4467,Baba Babee Skazala: Grandmother Told Grandmother,2018,N/A,N/A,55 min,"Documentary, Animation",Matej Silecky,"Karen Everett (story), Matej Silecky",Alexander Motyl,"The little-known story of Ukrainian children torn from their homes in the crush between the Nazi and Soviet fronts in World War II. Spending their childhood as refugees in Europe, these ...",English,"USA, Ukraine",N/A,https://m.media-amazon.com/images/M/MV5BMmE1NGRkNDktNDc2Ni00MmVmLWFiYmQtMTM2YzNhZjJiYjBlXkEyXkFqcGdeQXVyNzkzMjg2NTk@._V1_SX300.jpg,[],N/A,N/A,N/A,tt7245366,movie,N/A,N/A,N/A,N/A,True,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4468,Holding Patterns,2017,N/A,01 Apr 2017,87 min,"Action, Drama, Thriller","Daniel Critchfield, Caroline Deboer, Gina Marie Ezzone, Jabari Johnson, Andrew Quinlan, Treasure Thomas-Castile, Allie Vugrincic, Greg Watson","Gina Marie Ezzone, Marc Wiskemann","Jocelyn Jae Tanis, Dan Nye, Aaron Long, Beth Josephsen",Eight interlocking tales of how lives are changed in the wake of a tragic plane crash.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZjM3NWZmNTItZTVjMS00OTk2LTk0YzItODlkNmRmMDY0Mjk2XkEyXkFqcGdeQXVyMjI5MzcwNDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,6,tt6942032,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4469,I Am Wrath,2016,R,15 Apr 2016,92 min,"Action, Crime, Drama, Thriller",Chuck Russell,"Paul Sloan (screenplay), Yvan Gauthier (story)","John Travolta, Christopher Meloni, Amanda Schull, Sam Trammell",A man is out for justice after a group of corrupt police officers are unable to catch his wife's killer.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTg1ODYwZGEtM2VhZC00NTA0LTg4NWMtNjBjY2ViODU5N2ZkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}]",N/A,5.4,"12,304",tt3212232,movie,26 Jul 2016,N/A,LionsGate Entertainment,N/A,True,,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4470,The Row,2018,R,27 Jul 2018,85 min,"Horror, Thriller",Matty Beckerman,Sarah Scougal,"Lala Kent, Randy Couture, Natali Yura, Shea Buckner",A college freshman discovers a dark secret about the sorority house she's pledging for after a series of murders terrorize the campus.,English,"Canada, USA",N/A,https://m.media-amazon.com/images/M/MV5BMjEzNjc2NDUyNF5BMl5BanBnXkFtZTgwMDQwMzQ3NTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.3/10'}]",N/A,3.3,"1,017",tt8074486,movie,27 Jul 2018,N/A,Lionsgate,N/A,True,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4471,Secret of the Wings,2012,G,14 Dec 2012,75 min,"Animation, Family, Fantasy","Roberts Gannaway, Peggy Holmes","Roberts Gannaway (screenplay), Peggy Holmes (screenplay), Ryan Rowe (screenplay), Tom Rogers (screenplay)","Mae Whitman, Lucy Hale, Timothy Dalton, Jeff Bennett",Tinkerbell wanders into the forbidden Winter woods and meets Periwinkle. Together they learn the secret of their wings and try to unite the warm fairies and the winter fairies to help Pixie Hollow.,English,"USA, India, UK",1 win & 5 nominations.,https://m.media-amazon.com/images/M/MV5BOTc1OWM4MzEtMTlmMC00NjdiLTkwZTUtYmYwMmY1YjNhNTg1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}]",N/A,7.1,"10,060",tt1217213,movie,23 Oct 2012,"$1,871,624",Walt Disney Pictures,N/A,True,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
4472,Ethereal Everlasting,2011,N/A,30 Oct 2011,90 min,"Drama, Romance",David Fitch,"Candace Amiguet, David Fitch","Jason Nicola, Claire Underwood",A man discovers the meaning of life in his final moments before death.,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,15,tt2734806,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4473,Man Camp,2013,TV-14,12 Aug 2013,76 min,Comedy,Brian Brightly,"Brian Brightly, Ryan Farhoudi, Chris Wehner","Anastasia Baranova, Kate Siegel, Jonathan Slavin, Dean Cain","Attempting to compete for the love of a beautiful woman, a self-declared sissy joins a man camp that ""transforms boys into men,"" only to discover it's run by his dream girl's macho boyfriend.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjAxODYzMDE1NV5BMl5BanBnXkFtZTgwNTY3MTc4MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,96,tt2170499,movie,16 Jun 2014,N/A,N/A,N/A,True,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4474,Trouble Bound,1993,R,01 Jun 2006,90 min,"Action, Comedy",Jeffrey Reiner,"Darrell Fetty, Francis Delia","Michael Madsen, Patricia Arquette, Sal Jenco, Darren Epton",A former thief unbeknownst to a dead body in his car drives to a bright future- but the men who planted the body now need it back.,English,"USA, UK",N/A,https://m.media-amazon.com/images/M/MV5BMjE1NDg5NzU3MV5BMl5BanBnXkFtZTcwNTc4OTUyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,711,tt0105645,movie,18 Feb 2003,N/A,Incorporated Television Company,N/A,True,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4475,Journey of a Female Comic,2017,N/A,31 May 2017,88 min,Documentary,"Erick M. Crespo, Kiki Melendez","Lyn McCullough, Kiki Melendez","Kiki Melendez, Valenzia Algarin, Maria Conchita Alonso, Shari Belafonte","The film chronicles the ups and downs of a Hollywood actress/comedian, Kiki Melendez, as she struggles to make it in Tinsel Town.","English, Spanish",USA,1 win.,https://m.media-amazon.com/images/M/MV5BMTM4NzEzNTg3OV5BMl5BanBnXkFtZTcwMjc1MDc1OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.1/10'}]",N/A,9.1,27,tt2529396,movie,N/A,N/A,Latin Hollywood Films,N/A,True,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4476,Heart of the Everglades,2015,N/A,N/A,62 min,Documentary,N/A,N/A,"Bob Graham, Mac Stone, Pedro Ramos","In spite of what man has done to the Everglades, nature has found a way to survive. Water is the heart's blood of South Florida and the Everglades. With water comes life, creating an ...",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt5106374,movie,N/A,N/A,N/A,N/A,True,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4477,Okja,2017,TV-MA,28 Jun 2017,120 min,"Action, Adventure, Drama, Sci-Fi",Bong Joon Ho,"Bong Joon Ho (screenplay by), Jon Ronson (screenplay by), Bong Joon Ho (story by)","Tilda Swinton, Sheena Kamal, Michael Mitton, Colm Hill","A young girl risks everything to prevent a powerful, multinational company from kidnapping her best friend - a fascinating beast named Okja.","English, Korean, Spanish","South Korea, USA",7 wins & 20 nominations.,https://m.media-amazon.com/images/M/MV5BMjQxMTcxNDgxN15BMl5BanBnXkFtZTgwOTczNTIzMjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,7.3,"84,304",tt3967856,movie,28 Jun 2017,N/A,Netflix,N/A,True,,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4478,Cheerleader Chainsaw Chicks,2018,N/A,01 Jun 2018,80 min,Comedy,Virginia Perfili,"Virginia Perfili, Quinn Sharrow (collaborating writer)","Quinn Sharrow, Alexis Giller, Calli Hynes, Chloe White",Three cheerleaders attending a cheer camp become involved in a government facility theft and kidnapping. They seek out the help of the southern-charmed camp manager to rescue their friend. ...,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMzc4NmFlNmMtZjQ5Ni00ZWQ1LTlmZmYtOTM2YzUwODAwNjNmXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.2/10'}]",N/A,2.2,31,tt7580076,movie,N/A,N/A,N/A,N/A,True,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4479,A House in the Hills,1993,R,28 Apr 1995,95 min,"Romance, Thriller",Ken Wiederhorn,"David J. Greenberg (contributing writer), Miguel Tejada-Flores, Ken Wiederhorn","Michael Madsen, Helen Slater, Jeffrey Tambor, James Laurenson",An aspiring actress gets a housesitting job and finds herself in a cat-and-mouse game with a deadly ex-con.,English,"USA, Luxembourg",N/A,https://m.media-amazon.com/images/M/MV5BMTYzNTU3MTIyNF5BMl5BanBnXkFtZTcwNTA3MDMyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,738,tt0107147,movie,13 Oct 1993,N/A,Seraglio Films,N/A,True,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4480,Angels!,2000,N/A,08 Jul 2000,86 min,Comedy,Rico Martinez,"Rico Martinez (screenplay), Rico Martinez (story), John Stapleton, John Stapleton","Ruben Zambrano, John Stapleton, Sutan Amrull, Monty Freeman","Three glamorous ""female"" private investigators from an elite Los Angeles Detective agency are brought back to life after 25 years of slumber in a freeze drying chamber. Frozen by evil ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTg4NjU4NDM3OF5BMl5BanBnXkFtZTcwOTAwMDAwMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,45,tt0252884,movie,N/A,N/A,N/A,N/A,True,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4481,Booker's Place: A Mississippi Story,2012,NOT RATED,26 Apr 2012,90 min,"Documentary, History, Mystery",Raymond De Felitta,N/A,"Hodding Carter III, Frank De Felitta, Yvette Johnson, Leroy Jones","While filming a documentary in Mississippi in 1965, Frank De Felitta forever changed the life of an African-American waiter and his family. In 2011, Frank's son returns to the Delta to examine the repercussions of that fateful encounter.",English,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTM5MDMwNDI3Nl5BMl5BanBnXkFtZTcwNDMwNDM2Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,7.9,112,tt2129930,movie,06 Nov 2012,"$5,000",Tribeca Films,N/A,True,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4482,Mind the Gap,2004,R,13 Mar 2004,134 min,"Comedy, Drama",Eric Schaeffer,Eric Schaeffer,"Alan King, Elizabeth Reaser, Eric Schaeffer, Christopher Kovaleski",Five seemingly unrelated people decide to take huge risks in their personal lives in an effort to find happiness.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTI4OTg3MzQ5OF5BMl5BanBnXkFtZTcwMjI4NzkyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,7.1,791,tt0373152,movie,12 Jul 2005,N/A,Showtime Networks Inc.,N/A,True,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4483,Paranormal Activity,2007,R,16 Oct 2009,86 min,"Horror, Mystery, Thriller",Oren Peli,Oren Peli,"Katie Featherston, Micah Sloat, Mark Fredrichs, Amber Armstrong","After moving into a suburban home, a couple becomes increasingly disturbed by a nightly demonic presence.",English,USA,3 wins & 12 nominations.,https://m.media-amazon.com/images/M/MV5BMjY1NjcxODQ4MV5BMl5BanBnXkFtZTcwMzUxNjM4Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,6.3,"213,066",tt1179904,movie,29 Dec 2009,"$107,901,736",Paramount Pictures,N/A,True,,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
